"vuosikymmen","sukupuoli_f","pituus_f","syvyys_f","pinta_ala_f","pyoreys_f","lento_km"
"90-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2424.017815
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2449.198233
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3742.605965
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2823.766291
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3760.812589
"10-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3990.979847
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2414.382004
"10-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"70-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3588.946757
"70-l","M","49.00-51.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3031.753745
"90-l","M","52.00-54.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2194.554508
"10-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1322.002868
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3649.202627
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1645.103369
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3525.788543
"70-l","M","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2366.055726
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3726.207581
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3650.734973
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",900.2970617
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2424.017815
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2629.650056
"00-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2424.017815
"90-l","F","49.00-51.99","<740.0","740.0-839.0","0.1200-0.1299",2593.991168
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3760.812589
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3588.946757
"70-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2366.055726
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2541.515648
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2554.543392
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1162.434175
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3588.946757
"80-l","F","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",2542.272988
"80-l","M","52.00-54.99","740.0-839.0","840.0-939.0","0.1200-0.1299",3649.202627
"80-l","F","52.00-54.99","840.0-939.0","840.0-939.0","0.1300-0.1399",3453.855854
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3900.092851
"80-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2541.515648
